Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
SPROHSA100017	SPROHSA100017	SPROHSA100017		91	false	false		SPROHSA100017		15.38	1.0000	0.9989	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA100018, SPROHSA108507, SPROHSA125697, SPROHSA125698, SPROHSA250295, SPROHSA250296, SPROHSA280608, SPROHSA280609
SPROHSA100502	SPROHSA100502	SPROHSA100502		73	false	false		SPROHSA100502		12.33	1.0000	0.9809	0.00144822592324	1	0	1	1	0	1	     0	     0	     0			SPROHSA122692, SPROHSA122693, SPROHSA154932, SPROHSA154933, SPROHSA255257, SPROHSA261383, SPROHSA261384, SPROHSA276232, SPROHSA276233, SPROHSA287871, SPROHSA287872, SPROHSA330096, SPROHSA355951, SPROHSA376959, SPROHSA78153, SPROHSA78154, SPROHSA88753, SPROHSA88754, rev_SPROHSA311762
SPROHSA100725	SPROHSA100725	SPROHSA100725		71	false	false		SPROHSA100725		15.49	1.0000	0.9972	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA100726, SPROHSA126255, SPROHSA143284, SPROHSA169871, SPROHSA177094, SPROHSA177095, SPROHSA241467, SPROHSA241468, SPROHSA293380, SPROHSA375435, SPROHSA375436, SPROHSA41656, SPROHSA41657, SPROHSA41658, SPROHSA41659
SPROHSA100858	SPROHSA100858	SPROHSA100858		23	false	false		SPROHSA100858		39.13	1.0000	0.9659	0.00339558573854	1	0	1	1	0	1	     0	     0	     0			SPROHSA164803, SPROHSA188870, SPROHSA190963, SPROHSA234338, SPROHSA240152, SPROHSA242641, SPROHSA248559, SPROHSA27076, SPROHSA336644, SPROHSA354770, SPROHSA362543
SPROHSA100895	SPROHSA100895	SPROHSA100895		42	false	false		SPROHSA100895		21.43	1.0000	0.9675	0.00288184438040	1	0	1	1	0	1	     0	     0	     0			SPROHSA225859, SPROHSA358466
SPROHSA101	SPROHSA101	SPROHSA101		89	false	false		SPROHSA101		11.24	1.0000	0.9984	0.00000000000000	1	0	1	3	0	3	     0	     0	     0			SPROHSA102, SPROHSA18354, SPROHSA18355, SPROHSA18356, SPROHSA232489, SPROHSA9102, SPROHSA9103, SPROHSA98338, SPROHSA98339, SPROHSA98340
SPROHSA102203	SPROHSA102203	SPROHSA102203		61	false	false		SPROHSA102203		14.75	1.0000	0.9955	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA102204, SPROHSA201558, SPROHSA201559
SPROHSA102275	SPROHSA102275	SPROHSA102275		34	false	false		SPROHSA102275		38.24	1.0000	0.9990	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA2149, SPROHSA339068, SPROHSA354262, SPROHSA54880
SPROHSA10275	SPROHSA10275	SPROHSA10275		38	false	false		SPROHSA10275		36.84	1.0000	0.9985	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA133564, SPROHSA230689, SPROHSA230690, SPROHSA238943, SPROHSA285654
SPROHSA103126	SPROHSA103126	SPROHSA103126		83	false	false		SPROHSA103126		10.84	1.0000	0.9710	0.00288184438040	1	0	1	1	0	1	     0	     0	     0			SPROHSA110591, SPROHSA180812, SPROHSA236354, SPROHSA241707, SPROHSA296933, SPROHSA316733, SPROHSA73559
SPROHSA103420	SPROHSA103420	SPROHSA103420		88	false	false		SPROHSA103420		12.50	1.0000	0.9877	0.00083194675541	1	0	1	1	0	1	     0	     0	     0			SPROHSA115381, SPROHSA117870, SPROHSA117871, SPROHSA237185, SPROHSA241459, SPROHSA241470, SPROHSA241495, SPROHSA243255, SPROHSA243366, SPROHSA245592, SPROHSA254440, SPROHSA272843, SPROHSA321885, SPROHSA348377, SPROHSA352581, SPROHSA352584, SPROHSA367012, SPROHSA367043, SPROHSA368935, SPROHSA383207, SPROHSA383210, SPROHSA43251, SPROHSA44001, SPROHSA58615, SPROHSA84684, SPROHSA86393
SPROHSA103831	SPROHSA103831	SPROHSA103831		75	false	false		SPROHSA103831		12.00	1.0000	0.9695	0.00288184438040	1	0	1	1	0	1	     0	     0	     0			SPROHSA253017, SPROHSA27814, SPROHSA32023, SPROHSA368099
SPROHSA10386	SPROHSA10386	SPROHSA10386		26	false	false		SPROHSA10386		42.31	1.0000	0.9977	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA10387, SPROHSA199283, SPROHSA199284, SPROHSA209222, SPROHSA209223, SPROHSA232988, SPROHSA232989, SPROHSA321552, SPROHSA321553, SPROHSA321554, SPROHSA329656, SPROHSA329657, SPROHSA354438, SPROHSA354439, SPROHSA354440, SPROHSA360016, SPROHSA360017, SPROHSA372450, SPROHSA80269, SPROHSA97283, SPROHSA97284, SPROHSA97285
SPROHSA103995	SPROHSA103995	SPROHSA103995		37	false	false		SPROHSA103995		29.73	1.0000	0.9942	0.00000000000000	1	0	1	2	0	2	     0	     0	     0			SPROHSA103996, SPROHSA103997, SPROHSA104883, SPROHSA104884, SPROHSA104885, SPROHSA156154, SPROHSA156155, SPROHSA156156, SPROHSA254316, SPROHSA254317, SPROHSA254318, SPROHSA288699, SPROHSA288700, SPROHSA288701, SPROHSA292065, SPROHSA303016, SPROHSA370181, SPROHSA370182, SPROHSA370183, SPROHSA378289, SPROHSA378290, SPROHSA378291, SPROHSA50283, SPROHSA50284, SPROHSA50285, SPROHSA84693, SPROHSA84694, SPROHSA84695
SPROHSA104304	SPROHSA104304	SPROHSA104304		31	false	false		SPROHSA104304		29.03	1.0000	0.9936	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA262719, SPROHSA273036, SPROHSA278974, SPROHSA278975, SPROHSA317769, SPROHSA59390, SPROHSA59391, SPROHSA59392
SPROHSA104436	SPROHSA104436	SPROHSA104436		93	false	false		SPROHSA104436		11.83	1.0000	0.9969	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA142827, SPROHSA155664, SPROHSA158525, SPROHSA207562, SPROHSA36160, SPROHSA366011, SPROHSA41895
SPROHSA104465	SPROHSA104465	SPROHSA104465		87	false	false		SPROHSA104465		20.69	1.0000	0.9981	0.00000000000000	2	0	2	4	0	4	     0	     0	     0			SPROHSA261063
SPROHSA104763	SPROHSA104763	SPROHSA104763		41	false	false		SPROHSA104763		24.39	1.0000	0.9886	0.00083194675541	1	0	1	1	0	1	     0	     0	     0			SPROHSA121452, SPROHSA123799, SPROHSA186604, SPROHSA23186, SPROHSA252707, SPROHSA269584, SPROHSA279159, SPROHSA283758, SPROHSA332281, SPROHSA337652, SPROHSA33962, SPROHSA363909, SPROHSA4488, SPROHSA88304
SPROHSA105511	SPROHSA105511	SPROHSA105511		78	false	false		SPROHSA105511		19.23	1.0000	0.9983	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA119975, SPROHSA119976, SPROHSA227732, SPROHSA379799, SPROHSA38843
SPROHSA105973	SPROHSA105973	SPROHSA105973		93	false	false		SPROHSA105973		9.68	1.0000	0.9975	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA318319, SPROHSA52845
SPROHSA106010	SPROHSA106010	SPROHSA106010		94	false	false		SPROHSA106010		18.09	1.0000	0.9990	0.00000000000000	1	0	1	1	0	1	     0	     0	     0			SPROHSA15551, SPROHSA198125, SPROHSA223259, SPROHSA335511, SPROHSA363645, SPROHSA368593, SPROHSA388483, SPROHSA392416, SPROHSA63749, SPROHSA74959, SPROHSA94242
SPROHSA106396	SPROHSA106396	SPROHSA106396		33	false	false		SPROHSA106396		75.76	1.0000	0.9990	0.00000000000000	1	0	1	3	0	3	     0	     0	     0			SPROHSA108919, SPROHSA120988, SPROHSA13155, SPROHSA141679, SPROHSA178266, SPROHSA18862, SPROHSA205322, SPROHSA226552, SPROHSA229900, SPROHSA247512, SPROHSA258519, SPROHSA384937, SPROHSA391731
SPROHSA106620	SPROHSA106620	SPROHSA106620		92	false	false		SPROHSA106620		10.87	1.0000	0.9972	0.00000000000000	1	0	1	2	0	2	     0	     0	     0			SPROHSA10755, SPROHSA141589, SPROHSA17187, SPROHSA321686, SPROHSA325381, SPROHSA388033, SPROHSA391376, SPROHSA63641, SPROHSA8499
